Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Aloe wickensii;アロエ・ウィッケンシイ;紫光錦
Alopecurus aequalis var. amurensis;すずめのてっぽう;雀の鉄砲
Alpinia japonica;はなみょうが;花茗荷
Alpinia oxyphylla;やくち;益智
Alpinia purpurata;レッドジンジャー;
Alpinia speciosa;げっとう;月桃
Alpinia speciosa cv. Variegata;きふげっとう;黄斑月桃
Alsobia sp.;アルソビア;
Alsomitra macrocarpa;アルソミトラ・マクロカルパ;
Alstroemeria sp.;アルストロメリア;百合水仙
Alternanthera bettzickiana;もようびゆ;模様びゆ
Alternanthera dentata;あかばせんにちこう;赤葉千日紅
Alternanthera ficoidea;アルテルナンテラ・フィコイデア;
Alternanthera porrigens cv. Senniti-kobo;せんにちこぼう;千日小坊
Alyogyne huegelii;ブルーハイビスカス;
Amana edilis;あまな;甘菜
Amana latifolia;ひろはのあまな;広葉の甘菜
Amanita muscaria;べにてんぐたけ;紅天狗茸
Amanita verna;しろたまごてんぐたけ;白卵天狗茸
Amanita virgineoides;しろおにたけ;白鬼茸
Amaranthus hypochondriacus;アマランサス;紐鶏頭
Amaranthus lividus var. ascendens;いぬびゆ;犬びゆ
Amaranthus patulus;ほそあおげいとう;細青鶏頭
Amaranthus patulus;むらさきあおげいとう;紫青鶏頭
Amaranthus retroflexus;あおげいとう;青鶏頭
Amaranthus tricolor;はげいとう;
Amaranthus viridis;あおびゆ;青びゆ
Amarcrinum howardii;アマルクリヌム・ハワルディー;
Amaryllis belladonna;ベラドンナリリー;本アマリリス
Ambrina ambrosioides;ありたそう;有田草
Ambrosia artemisiifolia var. elatior;ぶたくさ;豚草
Ambrosia trifida;おおぶたくさ;大豚草
Amelanchier asiatica;ざいふりぼく;采振木
Amelanchier canadensis;アメリカざいふりぼく;アメリカ采振木
Amherstia nobilis;ようらくぼく;瓔珞木
Amitostigma kinoshitae;こあにちどり;小阿仁千鳥
Ammannia coccinea;ほそばひめみそはぎ;細葉姫禊萩
Ammobium alatum;かいざいく;貝細工
Amorpha fruticosa;くろばなえんじゅ;黒花槐
Amorphophallus oncophyllus;ジャワむかごこんにゃく;ジャワ珠芽蒟蒻
Amorphophallus paeoniifolius;ぞうこんにゃく;象蒟蒻
Amorphophallus rivieri;こんにゃく;蒟蒻
Amorphophallus titanum;スマトラおおこんにゃく;スマトラ大蒟蒻
Ampelopsis brevipedunculata var. heterophylla;のぶどう;野葡萄
Amphicarpaea bractaeta ssp. edgeworthii var. japonica;やぶまめ;藪豆
Amsonia elliptica;ちょうじそう;丁字草
Amsonia tabernaemontana;やなぎばちょうじそう;柳葉丁字草
Anacamptis pyramidalis;アナカンプティス・ピラミダリス;
Anacardium occidentale;カシューナットのき;木
Anagallis arvensis;るりはこべ;瑠璃繁縷
Anagallis arvensis f. phoenicea;あかばなるりはこべ;赤花瑠璃繁縷
Ananas bracteatus var. striatus;ふいりパイナップル;斑入り
Ananas comosus;パイナップル;
Ananas nanus;アナナス・ナヌス;
Anaphalis alpicola;たかねやはずははこ;高嶺矢筈母子
Anaphalis sinica var. viscosissima;くりやまははこ;栗山母子
Anaphalis souliei;アナファリス・ソウリエイ;
Anaphalis triplinervis;アナファリス・トリプリネルウィス;
Anapharis margaritacea var. angustior;やまははこ;山母子
Anchusa azurea;アンクーサ・アズレア;
Anchusa officinalis;アルカネット;
Androcymbium ciliolatum;アンドロキンビウム・キリオラツム;
Andromeda polifolia;ひめしゃくなげ;姫石楠花
Andropogon virginicus;メリケンかるかや;
Androsace chamaejasme ssp. lehmanniana;とちないそう;栃内草
Androsace lactea;アンドロサケ・ラクテア;
