Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Schefflera actinophylla;オクトパスツリー;
Schefflera arboricola;シェフレラ;宿りふかの木
Schima wallichii;ひめつばき;姫椿
Schinus molle;こしょうぼく;胡椒木
Schisandra chinensis;ちょうせんごみし;朝鮮五味子
Schisandra nigra;まつぶさ;松房
Schistostega pennata;ひかりごけ;光苔
Schizocasia lauterbachiana;スキゾカシア・ラウテルバキアナ;
Schizocodon soldanelloides;いわかがみ;岩鏡
Schizocodon soldanelloides f. alpinus;こいわかがみ;小岩鏡
Schizocodon soldanelloides var. magnus;おおいわかがみ;大岩鏡
Schizopepon bryoniaefolius;みやまにがいちご;深山苦瓜
Schizophragma hydrangeoides;いわがらみ;岩絡み
Schizophragma integrifolium;スキゾフラグマ・インテグリフォリウム;
Schizophyllum commune;すえひろたけ;末広茸
Sciadopitys verticillata;こうやまき;高野槙
Scilla autumnalis;シラー・アウツムナリス;
Scilla campanulata;シラー・カンパヌラータ;
Scilla non-scripta;イングリッシュブルーベル;
Scilla peruviana;シラー・ペルビアナ;大蔓穂
Scilla scilloides;つるぼ;蔓穂
Scilla scilloides var. litoralis;はまつるぼ;浜蔓穂
Scilla siberica;シラー・シベリカ;
Scirpus caespitosus;みねはりい;峰針藺
Scirpus cyperinus;ウールグラス;
Scirpus fluviatilis var. yagara;うきやがら;浮き矢柄
Scirpus hondoensis;みやまほたるい;深山蛍藺
Scirpus sylvaticus var. maximowiczii;くろあぶらがや;黒油茅
Scirpus tabernaemontani;ふとい;太藺
Scirpus tabernaemontani f. pictus;たてじまふとい;縦縞太藺
Scirpus tabernaemontani f. zebrinus;しまふとい;縞太藺
Scirpus triangulatus;かんがれい;寒枯藺
Scirpus triqueter;さんかくい;三角藺
Scirpus wichurae;あぶらがや;油茅
Scolymus hispanicus;きばなのあざみ;黄花野薊
Scoparia cv. Ilumina Lemon Mist;スコパリア・レモンミスト;
Scopolia japonica;はしりどころ;走野老
Scrophularia duplicato-serrata;ひなのうすつぼ;雛の臼壺
Scrophularia kakudensis;おおひなのうすつぼ;大雛の臼壺
Scutellaria alpina;スクテルラリア・アルピナ;
Scutellaria baicalensis;こがねばな;黄金花
Scutellaria costaricana;スクテルラリア・コスタリカナ;
Scutellaria indica;たつなみそう;立浪草
Scutellaria indica var. parvifolia;こばのたつなみ;小葉の立浪
Scutellaria laeteviolacea;しそばたつなみ;紫蘇葉立浪
Scutellaria maekawae f. abbreviata;とうごくしそばたつなみそう;東国紫蘇葉立浪草
Scutellaria strigillosa;なみきそう;波来草
Scutellaria suffrutescens;スクテルラリア・スフルテスケンス;
Scutellaria wrightii;スクテルラリア・ライティイ;
Secale cereale;ライむぎ;ライ麦
Sechim edule;はやとうり;
Securinega suffruticosa var. japonica;ひとつばはぎ;一つ葉萩
Sedum aizoon var. aizoon;ほそばのきりんそう;細葉の麒麟草
Sedum aizoon var. floribundum;きりんそう;麒麟草
Sedum aizoon var. floribundum;てかりだけきりんそう;光岳麒麟草
Sedum graeca;セダム・グラエカ;
Sedum hispanicum;セダム・ヒスパニクム;薄雪万年草
Sedum makinoi;まるばまんねんぐさ;丸葉万年草
Sedum mexicanum;メキシコまんねんぐさ;メキシコ万年草
Sedum morganianum;たまつづり;玉綴り
Sedum nussbaumerianum;めいげつ;名月・銘月
Sedum nuttallianum;セダム・ヌッタリアヌム;
Sedum oreganum;セダム・オレガヌム;
Sedum pachyphyllum;おとめごころ;乙女心
Sedum palmeri;うすげしょう;薄化粧
Sedum reflexum;さかさまんねんぐさ;逆万年草
Sedum rosea;いわべんけい;岩弁慶
Sedum rubrotinctum;にじのたま;虹の玉
Sedum sarmentosum;つるまんねんぐさ;蔓万年草
Sedum sediforme;セダム・セディフォルメ;
Sedum spathulifolium;セダム・スパツリフォリウム;
Sedum spurium;セダム・スプリウム;
Sedum subtile;ひめれんげ;姫蓮華
Sedum uniflorum ssp. japonicum f. morimurae;もりむらまんねんぐさ;もりむら万年草
Sedum uniflorum ssp. oryzifolium;たいとごめ;大唐米
Selaginella braunii;セラギネラ・ブラウニイ;
Selaginella pilifera;セラギネラ・ピリフェラ;
Selaginella remotifolia;くらまごけ;鞍馬苔
Selaginella umbrosa;うらべにいわひばもどき;裏紅岩檜葉擬き
Selaginella unicinata;こんてりくらまごけ;紺照り鞍馬苔
Selago densiflorus;セラゴ・デンシフロールス;
Selenicereus cv.;よるのじょうおう;夜の女王
Semiarundiaria kagamiana;りくちゅうだけ;陸中竹
Semiarundinaria fastuosa;なりひらだけ;業平竹
Semiarundinaria fastuosa var. viridis;あおなりひらだけ;青業平竹
Semiarundinaria okuboi;びぜんなりひらだけ;備前業平竹
Semiarundinaria yashadake;やしゃだけ;夜叉竹
Sempervivum arachnoideum;くものすばんだいそう;蜘蛛の巣万代草
Sempervivum montanum;センペルビブム・モンタヌム;
Sempervivum tectorum;やねばんだいそう;屋根万代草
Senecio cannabifolius;はんごんそう;反魂草
Senecio cineraria;しろたえぎく;白妙菊
Senecio confusus;セネキオ・コンフスス;メキシコ沢菊
Senecio cruenta;シネラリア;富貴菊
Senecio doronicum;セネキオ・ドロニクム;
Senecio flammeus ssp. glabrifolius;こうりんか;紅輪花
Senecio madagascariensis;なるとさわぎく;鳴門沢菊
Senecio medley-woodii;セネキオ・メドレイウォーディイ;
Senecio nemorensis;きおん;黄苑
Senecio nikoensis;さわぎく;沢菊
Senecio pierotii;さわおぐるま;沢小車
Senecio serpens;セネキオ・セルペンス;
Senecio takedanus;たかねこうりんか;高嶺高輪花
Senecio vulgaris;のぼろぎく;野襤褸菊
Sequoia sempervirens;セコイア;
Sequoiadendron giganteum;セコイアデンドロン;
Serissa japonica;はくちょうげ;白丁花
Serissa japonica var. crassiramea;だんちょうげ;段丁花
Serratula coronata ssp. insularis;しろばなたむらそう;白花田村草
Serratula coronata ssp. insularis;たむらそう;田村草
Serratula coronata var. insularis;たんなたむらそう;耽羅田村草
Serruria florida;セルリア・フロリダ;
Serruria pedunculata;セルリア・ペドゥンクラータ;
Sesamum indicum;ごま;胡麻
Setaria faberi;あきのえのころぐさ;秋の狗尾草
Setaria glauca;きんえのころ;金狗尾
Setaria italica;あわ;粟
Setaria italica;イタリアンミレット;
Setaria pallide-fusca;こつぶきんえのころ;小粒金狗尾
Setaria viridis;えのころぐさ;狗尾草
Setaria viridis ssp. minor f. misera;むらさきえのころ;紫狗尾
Setcreasea pallida;セトクレアセア・パリダ;紫御殿
Shibataea kumasaca;おかめざさ;阿亀笹
Shibateranthis pinnatifida;せつぶんそう;節分草
Shorea robusta;さらのき;沙羅の木
Shortia uniflora var. kantoensis;いわうちわ;岩団扇
Sicyos angulatus;あれちうり;荒れ地瓜
Sida fallax;イリマ;
Sida rhombifolia;きんごじか;金午時花
Sidalcea glaucescens;ワクシーチェッカーマロー;
Sidalcea malviflora;シダルケア;
Sidalcea neomexicana;チェッカーマロー;
Siegesbeckia orientalis ssp. glabrescens;こめなもみ;小雌生揉
Siegesbeckia orientalis ssp. pubescens;めなもみ;雌生揉
Silene acaulis;シレネ・アカウリス;苔マンテマ
Silene armeria;むしとりなでしこ;虫取り撫子
Silene dioica;レッドキャンピオン;
Silene gallica var. gallica;しろばなマンテマ;白花マンテマ
Silene gallica var. quinquevulnera;マンテマ;
Silene hidaka-alpina;カムイビランジ;
Silene keiskei;おおビランジ;大ビランジ
Silene keiskei var. akashialpina;たかねビランジ;高嶺ビランジ
Silene keiskei var. minor;ビランジ;
Silene maritima;シレネ・マリティマ;浜辺マンテマ
Silene pendula;さくらマンテマ;桜マンテマ
Silene sakhalinensis;シレネ・サハリネンシス;
Silene schafta;シレネ・スカフタ;姫桜マンテマ
Silene vulgaris;しらたまそう;白玉草
Silphium perfoliatum;つきぬきおぐるま;突抜小車
Silybum marianum;おおあざみ;大薊
Simmondsia chinensis;ホホバ;
Sinningia leucotricha;シンニンギア・レウコトリカ;
Sinningia sellovii;シンニンギア・セロウィー;
Sinningia sp.;シンニンギア・カルディナリス;
Sinningia sp.;シンニンギア;
Sinobambusa tootsik;とうちく;唐竹
Sinobambusa tootsik cv. Suzukonarihira;すずこなりひらだけ;鈴小業平竹
Sinobambusa tootsik f. maeshimana;ふじだけ;富士竹
Sinocalycanthus chinensis;なつろうばい;夏蝋梅
Sisymbrium altissimum;はたざおがらし;旗竿芥子
Sisymbrium luteum;きばなはたざお;黄花旗竿
Sisymbrium officinale;かきねがらし;垣根芥子
Sisymbrium orientale;いぬかきねがらし;犬垣根芥子
Sisyrinchium angustifolium;シシリンキウム・アングスティフォリウム;
Sisyrinchium atlanticum;にわぜきしょう;庭石菖
Sisyrinchium bellum;シシリンキウム・ベルム;
Sisyrinchium sp.;シシリンキウム;
Sium suave ssp. nipponicum;ぬまぜり;沼芹
Skimmia japonica;みやましきみ;深山樒
Skimmia japonica var. intermedia f. repens;つるしきみ;蔓樒
Smilacina hondoensis;やまとゆきざさ;大和雪笹
Smilacina japonica;ゆきざさ;雪笹
Smilacina racemosa;スミラキナ・ラケモーサ;
Smilacina yesoensis;ひろはゆきざさ;広葉雪笹
Smilax bona-nox;スミラクス・ボナノックス;
Smilax china;さるとりいばら;猿捕り茨
Smilax nipponica;たちしおで;立ち牛尾菜
Smilax riparia var. ussuriensis;しおで;牛尾菜
Smilax rotundifolia;スミラクス・ロツンディフォリア;
Smithiantha sp.;スミシアンサ;
Sobralia xantholeuca;ソブラリア・キサントレウカ;
Solandra longiflora;ソランドラ・ロンギフローラ;長ラッパ花
Solandra maxima;ソランドラ・マキシマ;鬱金ラッパ花
Solanum ameicanum;アメリカいぬほおずき;犬酸漿
Solanum betaceum;タマリロ;木立トマト
Solanum carolinense;わるなすび;悪茄子
Solanum dulcamara;ソラナム・ヅルカマラ;
Solanum elaeagnifolium;ラシャなす;羅紗茄子
Solanum glaucophyllum;るりやなぎ;瑠璃柳
Solanum intergrifolium;ひらなす;平茄子
Solanum japonense;やまほろし;山白英
Solanum jasminoides;つるはななす;
Solanum lyratum;ひよどりじょうご;鵯上戸
Solanum macranthum;ソラナム・マクランツム;
Solanum mammosum;つのなす;
Solanum megacarpum;おおまるばのほろし;
Solanum melongena;なす;茄子
Solanum melongena var. esculentum;しろなす;白茄子
Solanum muricatum;ペピーノ;
Solanum nigrum;いぬほおずき;犬酸漿
Solanum pseudo-capsicum;たまさんご;玉珊瑚
Solanum quitoense;ナランジラ;
Solanum rantonnetii;ソラナム・ラントネッティ;
Solanum seaforthianum;るりいろつるなす;瑠璃色蔓茄子
Solanum sisymbrifolium;ソラナム・シシンブリフォリウム;
Solanum torvum;すずめのなすび;雀の茄子
Solanum tuberosum;じゃがいも;じゃが芋
Solanum wendlandii;ソラナム・ウェンドランディー;
Soldanella alpina;ソルダネラ・アルピナ;岩鏡騙し
Soleirolia soleirolii;ソレイロリア・ソレイロリー;
Solidago altissima;せいたかあわだちそう;背高泡立草
Solidago minutissima;いっすんきんか;一寸金花
Solidago plumosa;ソリダゴ・プルモーサ;
Solidago spathulata;ソリダゴ・スパツラータ;
Solidago virgaurea;ソリダゴ・ウィルガウレア;
Solidago virgaurea ssp. asiatica;あきのきりんそう;秋の麒麟草
Solidago virgaurea ssp. leiocarpa f. japonalpestris;みやまあきのきりんそう;深山秋の麒麟草
Solidago virgaurea ssp. leiocarpa f. paludosa;きりがみねあきのきりんそう;
Solidago virgaurea ssp. leiocarpa var. praeflorens;はちじょうあきのきりんそう;八丈秋の麒麟草
Sonchus asper;おにのげし;鬼野芥子
Sonchus brachyotus;はちじょうな;八丈菜
Sonchus congestus;ソンクス・コンゲスツス;
Sonchus oleraceus;のげし;野芥子
Sophora affinis;ソフォーラ・アフィニス;
Sophora flavescens;くらら;苦参
Sophora japonica;えんじゅ;槐
Sophora japonica var. pendula;しだれえんじゅ;枝垂れ槐
Sophora prostrata;ソフォーラ・プロストラータ;
Sophora secundiflora;テキサスマウンテンローレル;
Sophronitis brevipedunculata;ソフロニティス・ブレウィペドゥンクラータ;
Sophronitis cerunua;ソフロニティス・ケルヌア;
Sophronitis coccinea;ソフロニティス・コッキネア;
Sorbaria kirilowii;にわななかまど;庭七竈
Sorbaria sorbifolia;ほざきななかまど;穂咲き七竈
Sorbus alnifolia;あずきなし;小豆梨
Sorbus aucuparia;おうしゅうななかまど;欧州七竈
Sorbus commixta;ななかまど;七竈
Sorbus commixta var. rufo-ferruginea;さびばななかまど;錆葉七竈
Sorbus japonica;うらじろのき;裏白の木
Sorbus matsumurana;うらじろななかまど;裏白七竈
Sorbus sambuchifolia var. pseudoglacilis;みやまななかまど;深山七竈
Sorbus sitchensis;シトカななかまど;シトカ七竈
Sorgham bicolor;グレインソルガム;蜀黍
Sorgham halepense;せいばんもろこし;西蕃蜀黍
Sorghum bocolor;たかきび;高黍
Sorghum nervosum;こうりゃん;高梁
Sparaxis bulbifera;スパラクシス・ブルビフェラ;
Sparaxis tricolor;スパラクシス;
Sparganium erectum;みくり;実栗
Sparganium glomeratum;たまみくり;玉実栗
Spartium junceum;れだま;連玉
Spathiphyllum cannifolium;スパティフィルム・カンニフォリウム;
Spathiphyllum sp.;スパティフィルム;
Spathodea campanulata;かえんぼく;火焔木
Spathoglottis lobbii;スパトグロッティス・ロビイ;
Spathoglottis plicata;こうとうしらん;紅頭紫蘭
Specularia perfoliata;ききょうそう;桔梗草
Spergularia purpurea;スペルグラリア・プルプレア;
Sphaeralcea ambigua;スファエラルケア・アンビグア;
Sphaeralcea angustifolia;スファエラルケア・アングスティフォリア;
Sphaeralcea coccinea;スファエラルケア・コッキネア;
Sphagnum cuspidatum;はりみずごけ;針水苔
Sphagnum palustre;おおみずごけ;大水苔
Sphenomeris chinensis;ほらしのぶ;洞忍
Sphyrospermum cordifolium;スフィロスペルムム・コルディフォリウム;
Spilanthes acmella;オランダせんにち;オランダ千日
Spilanthes oleracea;きばなオランダせんにち;黄花オランダ千日
Spiloxene capensis;スピロキシネ・カペンシス;
Spinacia oleracea;ほうれんそう;菠薐草
Spiraea betulifolia;まるばしもつけ;丸葉下野
Spiraea blumei;いわがさ;岩傘
Spiraea blumei var. obtusa;みつばいわがさ;三葉岩傘
Spiraea cantoniensis;こでまり;小手鞠
Spiraea cantoniensis var. plena;やえこでまり;八重小手鞠
Spiraea japonica;しもつけ;下野
Spiraea japonica f. albiflora;しろばなしもつけ;白花下野
Spiraea japonica f. alpina;おやましもつけ;御山下野
Spiraea nipponica var. tosaensis;とさしもつけ;土佐下野
Spiraea nipponica;いわしもつけ;岩下野
Spiraea prunifolia;しじみばな;蜆花
Spiraea salicifolia;ほざきしもつけ;穂咲き下野
Spiraea salicifolia cv. Mizuho;みずほしもつけ;瑞穂下野
Spiraea thunbergii;ゆきやなぎ;雪柳
Spiranthes sinensis var. amoena;ねじばな;捩花
Spiranthes speciosa;スピランテス・スペキオーサ;
Spirodela polyrhiza;うきくさ;浮き草
Spirogyra sp.;あおみどろ;水綿・青味泥
Spodiopogon sibiricus;おおあぶらすすき;大油薄
Spondias cytherea;たまごのき;卵の木
Spondias pinnata;アムラたまごのき;卵の木
Sporobolus virginicus;スポロボルス・ウィルギニクス;
Sprekelia formosissima;つばめずいせん;燕水仙
Srymonia warscewiziana;ドリモニア・ワルセヴィッチアナ;
Stachys alpina;スタキス・アルピナ;
Stachys bysantina;ラムズイヤー;綿草石蚕
Stachys chamissonis;スタキス・カミッソニス;
Stachys officinalis;かっこうちょろぎ;郭公草石蚕
Stachys riederi var. intermedia;いぬごま;犬胡麻
Stachys sieboldii;ちょろぎ;草石蚕
Stachytarpheta jamaicensis;ほながそう;穂長草
Stachytarpheta martiana;スタキタルフェタ・マルチアナ;
Stachytarpheta mutabilis;スタキタルフェタ・ムタビリス;
Stachyurus praecox;きぶし;木五倍子
Stachyurus praecox var. matsuzakii;はちじょうきぶし;八丈木五倍子
Stapelia grandiflora;スタペリア・グランディフローラ;
Stapelia hirsuta;さいかく;犀角
Stapelia sp.;スタペリア;
Staphylea bumalda;みつばうつぎ;三葉空木
Stauntonia hexaphylla;むべ;郁子
Stegnogramma pozoi ssp. molissima;みぞしだ;溝羊歯
Stellaria alsine var. undulata;のみのふすま;蚤の衾
Stellaria media;こはこべ;小繁縷
Stellaria monosperma var. japonica;おおやまはこべ;大山繁縷
Stellaria neglecta;みどりはこべ;緑繁縷
Stellaria nemorum;ステルラリア・ネモルム;
Stellaria nipponica;いわつめくさ;岩爪草
Stellaria ruscifolia;しこたんはこべ;色丹繁縷
Stellaria sessiliflora;みやまはこべ;深山繁縷
Stemodia lanata;ステモディア・ラナータ;
Stenactis annuus;ひめじょおん;姫女苑
Stenactis stigosus;へらばひめじょおん;箆葉姫女苑
Stenocactus zacatecasensis;ちぢみだま;縮玉
Stenocarpus salignus;ステノカルプス・サリグヌス;
Stenocarpus sinuatus;ステノカルプス・シヌアツス;
Stenocereus beneckei;らいふかく;雷斧閣
Stenoglottis cv.;むれちどり;群千鳥
Stephanandra incisa;こごめうつぎ;小米空木
Stephanotis floribunda;マダガスカルジャスミン;
Sterculia nobilis;ピンポンのき;
Sterngergia lutea;ステルンベルギア・ルテア;黄花玉簾
Stevia rebaudiana;ステビア;
Stewartia monadelpha;ひめしゃら;姫沙羅
Stewartia pseudo-camellia;なつつばき;夏椿
Stictocardia tiliifolia;おおばはまあさがお;大葉浜朝顔
Stifftia chrysantha;スティフティア・クリサンタ;
Stigmaphyllon ciliatum;スティグマフィロン・キリアツム;蔓金虎の尾
Stokesia laevis;ストケシア;瑠璃菊
Stranvaesia davidiana;ストランウェシア・ダビディアーナ;
Strelitzia nicolai;おうぎばしょうもどき;扇芭蕉擬き
Strelitzia reginae;ごくらくちょうか;極楽鳥花
Streptanthus platycarpus;ストレプタンツス・プラティカルプス;
Streptocarpus denticulatus;ストレプトカーパス・デンティクラツス;
Streptocarpus formosus;ストレプトカーパス・フォルモスス;
Streptocarpus grandis;ストレプトカーパス・グランディス;
Streptocarpus pallidiflorus;ストレプトカーパス・パリディフロールス;
Streptocarpus porphyrostele;ストレプトカーパス・ポルフィロステレ;
Streptocarpus sp.;ストレプトカーパス;
Streptocarpus wendlandii;ストレプトカーパス・ウエンドランディ;
Streptopus amplexifolius var. papillatus;おおばたけしまらん;大葉竹縞蘭
Streptopus streptopoides var. japonicus;たけしまらん;竹縞蘭
Streptosolen jamesonii;マーマレードのき;木
Strobilanthes anisophyllus;ストロビランテス・アニソフィルス;
Strobilanthes cusia;りゅうきゅうあい;琉球藍
Strobilanthes dyerianus;ストロビランテス・ディエリアヌス;
Strobilanthes wakasana;ゆきみばな;雪見花
Stromanthe sanguinea;うらべにしょう;裏紅蕉
Stromanthe sanguinea cv. Tricolor;ストロマンテ・トリカラー;
Strongylodon macrobotrys;ひすいかずら;翡翠葛
Strophanthus caudatus;きんりゅうか;金竜花
Strophanthus gratus;ストロファンツス・グラーツス;
Strumaria truncata;ストルマリア・トルンカータ;
Styrax japonica;えごのき;えごの木
Styrax obassia;はくうんぼく;白雲木
Succisa pratensis;スッキサ・プラテンシス;松虫草擬き
Sutera diffusus;バコパ・ディッフスム;
Sutera microphylla;ステラ・ミクロフィラ;
Sutera palustris;ステラ・パルストリス;
Sutera pinnatifida;ステラ・ピンナチフィダ;
Swertia bimaculata;あけぼのそう;曙草
Swertia japonica;せんぶり;千振
Swertia tetrapetala;ちしませんぶり;千島千振
Swertia tetrapetala ssp. micrantha f. leucantha;しろばなたかねせんぶり;白花高嶺千振
Swida controversa;みずき;水木
Swida macrophylla;くまのみずき;熊野水木
Swietenia mahagoni;マホガニー;
Syagrus weddelliana;ひめやし;姫椰子
Symphoricarpos albus;コモンスノーベリー;
Symphytum officinale;コンフリー;鰭玻璃草
Symplocarpus foetidus var. latissimus;ざぜんそう;座禅草
Symplocos chinensis var. leucocarpa f. pilosa;さわふたぎ;沢蓋木
Symplocos coreana;たんなさわふたぎ;耽羅沢蓋木
Symplocos lucida;くろき;黒木
Symplocos paniculata;くろみのにしごり;黒実の錦織木
Symplocos prunifolia;くろばい;黒灰
Syneilesis palmata;やぶれがさ;破れ傘
Synsepalum dulcificum;ミラクルフルーツ;
Synurus excelsus;はばやまぼくち;葉場山火口
Synurus palmatopinnatifidus var. indivisus;やまぼくち;山火口
Synurus pungens;おやまぼくち;雄山火口
Syringa microphylla;ひめライラック;姫ライラック
Syringa reticulata;はしどい;丁香花
Syringa vulgaris;ライラック;紫丁香花
Syzygium aqueum;みずれんぶ;水蓮霧
Syzygium aromaticum;ちょうじのき;丁子の木
Syzygium australe;オーストラリアふともも;オーストラリア蒲桃
Syzygium buxifolium;あでく;赤楠
Syzygium jambos;ふともも;蒲桃
Syzygium luehmannii;ライベリー;
Syzygium malaccense;マレーふともも;蒲桃
Syzygium samarangense;れんぶ;蓮霧
Tabebuia chrysotricha;こがねのうぜん;黄金凌霄花
Tabebuia impetiginosa;タベブイア・インペティギノーサ;
Tabebuia rosea;ももいろのうぜん;桃色凌霄花
Tabernaemontana divaricata;さんゆうか;三友花
Tabernaemontana divaricata cv. Flore Pleno;やえさんゆうか;八重三友花
Tacca chantrieri;タッカ・カントリエリ;
Tacitus bellus;タキツス・ベルス;
Taenidia integerrima;タエニディア・インテゲリマ;
Tagetes erecta;アフリカンマリーゴールド;万寿草
Tagetes lucida;ミントマリーゴールド;
Tagetes patula;フレンチマリーゴールド;孔雀草
Taiwania cryptomerioides;たいわんすぎ;台湾杉
Talinum fruticosum;タリヌム・フルティコスム;
Talinum triangulare;はぜらん;爆ぜ蘭
Tamarindus indica;タマリンド;
Tamarix chinensis;ぎょりゅう;御柳
Tanacetum parthenium;なつしろぎく;夏白菊
Tanacetum vulgare;タンジー;蝦夷蓬菊
Tapeinochilus ananasae;ワックスジンジャー;
Taraxacum albidum;しろばなたんぽぽ;白花蒲公英
Taraxacum alpicola;みやまたんぽぽ;深山蒲公英
Taraxacum hondoense;えぞたんぽぽ;蝦夷蒲公英
Taraxacum hybridum;ざっしゅたんぽぽ;雑種蒲公英
Taraxacum japonicum;かんさいたんぽぽ;関西蒲公英
Taraxacum longeappendiculatum;ひろはたんぽぽ;広葉蒲公英
Taraxacum officinale;せいようたんぽぽ;西洋蒲公英
Taraxacum platycapum;かんとうたんぽぽ;関東蒲公英
Taraxacum platycarpum ssp. hondoense;しなのたんぽぽ;信濃蒲公英
Taxodium ascendens;たちらくうしょう;立ち落羽松
Taxodium distichum;ぬますぎ;沼杉
Taxodium mucronatum;メキシコらくうしょう;メキシコ落羽松
Taxus baccata;ヨーロッパいちい;ヨーロッパ一位
Taxus cuspidata;いちい;一位
Taxus cuspidata var. nana;きゃらぼく;伽羅木
Tecoma stans;きんれいじゅ;金鈴樹
Tecomanthe dendrophylla;テコマンテ・デンドロフィラ;
Tecomanthe venusta;テコマンテ・ウェヌスタ;
Tecomaria capensis;ひめのうぜんかずら;姫凌霄花
Tecophilaea violiflora;テコフィラエア・ウィオリフローラ;
Telopea speciosissima;ワラタ;
Telosma cordata;イエライシャン;夜来香
Terminalia catappa;ももたまな;桃玉名
Ternstroemia gymnanthera;もっこく;木斛
Tetragonia tetragonoides;つるな;蔓菜
Tetragonocalamus quadrangularis;しほうちく;四方竹
Tetragonocalamus quadrangularis f. nagamineanus;きんめいしほうちく;金明四方竹
Tetragonocalamus quadrangularis f. suhow;すおうほうちく;蘇芳方竹
Tetragonocalamus quadrangularis f. tateshima;たてじまほうちく;縦縞方竹
Tetranema roseum;テトラネマ・ロセウム;
Tetrapanax papyriferus;かみやつで;紙八手
Tetratheca thymifolia;テトラテカ・ティミフォリア;
Teucrium aroanium;テウクリウム・アロアヌム;
Teucrium chamaedrys;ウォールジャーマンダー;
Teucrium fruticans;ツリージャーマンダー;
Teucrium japonicum;にがくさ;苦草
Teucrium scorodonia;ウッドセージ;
Thalia dealbata;みずカンナ;水カンナ
Thalia geniculata var. ruminoides;タリア・ルミノイデス;
Thalictrum aquilegifolium;タリクトルム・アクイレギフォリウム;
Thalictrum aquilegifolium var. intermedium;からまつそう;落葉松草
Thalictrum dipterocarpum;タリクトルム・ディプテロカルプム;
Thalictrum fendleri;タリクトルム・フェンドレリ;
Thalictrum filamentosum var. tenerum;みちのくからまつ;陸奥落葉松
Thalictrum filamentosum var. tenerum;みやまからまつ;深山落葉松
Thalictrum flavum;きばなからまつそう;黄花落葉松草
Thalictrum integrilobum;ながばからまつ;長葉落葉松
Thalictrum kiusianum;つくしからまつ;筑紫落葉松
Thalictrum minus var. hypoleucum;あきからまつ;秋落葉松
Thalictrum minus var. stipellatum;こからまつ;小落葉松
Thalictrum rochebrunianum;しきんからまつ;紫錦落葉松
Thalictrum uchiyamai;むらさきからまつ;紫落葉松
Thalictrum urbaini;たかさごからまつ;高砂落葉松
Thalictrum urbaini var. grandiflorum;たいりんたかさごからまつ;高砂落葉松
Thelypteris decursive-pinnata;げじげじしだ;蚰蜒蚰蜒羊歯
Thelypteris nipponica;にっこうしだ;日光羊歯
Thelypteris palustris;ひめしだ;
Thelypteris simplex;ひとつばこうもりしだ;一つ葉蝙蝠羊歯
Theobroma cacao;カカオのき;カカオの木
Thermopsis lupinoides;せんだいはぎ;先代萩
Thermopsis macrophylla;テルモプシス・マクロフィラ;
Thermopsis rhombifolia;テルモプシス・ロンビフォリア;
Therorhodion camtschaticum;えぞつつじ;蝦夷躑躅
Thespesia populnea;さきしまはまぼう;先島浜朴
Thlaspi stylosum;トラスピ・スティロスム;
Thuja occidentalis;においひば;匂い檜葉
Thuja occidentalis cv. Rhein Gold;ラインゴールド;
Thuja orientalis;このてがしわ;児手柏
Thuja plicata;ウェスタンレッドシーダー;
Thuja standishii;ねずこ;鼠子
Thujopsis dolabrata;あすなろ;翌檜
Thunbergia alata;やはずかずら;矢筈葛
Thunbergia erecta;こだちやはずかずら;木立矢筈葛
Thunbergia fragrans;ツンベルギア・フラグランス;
Thunbergia grandiflora;ベンガルやはずかずら;矢筈葛
Thunbergia gregorii;ツンベルギア・グレゴリー;
Thunbergia mysorensis;マイソルやはずかずら;マイソル矢筈葛
Thunbergia natalensis;ツンベルギア・ナタレンシス;
Thunbergia vogeliana;ツンベルギア・フォーゲリアナ;
Thymus longicaulis;ティムス・ロンギカウリス;
Thymus polytrichus;ワイルドタイム;
Thymus praecox;ティムス・プラエコクス;
Thymus pulegioides;ティムス・プレギオイデス;
Thymus serpyllum;クリーピングタイム;洋種伊吹麝香草
Thymus serpyllum ssp. quinquecostatus;いぶきじゃこうそう;伊吹麝香草
Thymus vulgaris;コモンタイム;
Thymus vulgaris cv.;フレンチタイム;
Thymus x citridorus;レモンタイム;
Thymus x citriodorus cv. Argenteus;シルバータイム;
Tiarella cv.;ティアレラ;
Tiarella polyphylla;ずだやくしゅ;喘息薬種
Tiarella trifoliata var. unifoliata;ティアレラ・トリフォリアタ・ウニフォリアタ;
Tibouchina cv. Cote d'Azur;しこんのぼたん・コートダジュール;
Tibouchina cv. Little Angel;しこんのぼたん・リトルエンジェル;
Tibouchina urvilleana;しこんのぼたん;
Tigridia pavonia;チグリジア・パウォニア;
Tilia americana;アメリカしなのき;アメリカ科の木
Tilia cordata;ふゆぼだいじゅ;冬菩提樹
Tilia europaea;せいようしなのき;西洋科の木
Tilia kiusiana;へらのき;箆の木
Tilingia ajanensis;しらねにんじん;白根人参
Tilingia holopetala;いぶきぜりもどき;伊吹芹擬き
Tilingia tachiroei;みやまういきょう;深山茴香
Tillandsia aeranthos;チランドシア・アエラントス;
Tillandsia capt-medusae;チランドシア・カプトメデューサエ;
Tillandsia cyanea;チランドシア・キアネア;花アナナス
Tillandsia sp.;チランドシア;
Tillandsia usneoides;さるおがせもどき;猿麻がせ擬
Tillandsia xerographica;チランドシア・キセログラフィカ;
Tiquilia greggii;チクイリア・グレッギイ;
