Daphne laureola;vazdazeleni likovac;lovorasti likovac,lovorčica,ljupčac,lovorolisni likovac,likovac lovorolisti,ljubčec,ljubčac vazdazelen,misečno zelje,strupac,uho vučje,ušatac,ušatak,maslinica,lovoričica,divlja lovorika,ličac
Daphne mezereum;obični likovac;vučje liko,hajdučka oputa,moslinica,lika vučja,likovac,misičina,predivčica,prživčica,rep vučji,maslinica,likovac,maslinica,vučja oputa
Dasypyrum villosum;vlasnata hajnaldija;hajnaldija
Datura stramonium;bijeli kužnjak;kužnjak,tatula,pomočnica smardljava,jabuka bodećja,bivolčići,bodeća jabuka,bršor,maslak,orešić divji,pomoćnica smrdljiva,shirnjak,smrdac,steničnjak,strkac,turica velja,bielocvjetni kužnjak,ljubičasti kužnjak,tatura,datura
Datura metel;smrdljika;
Daucus carota;mrkva;merlin,korenje,kuzmorika,mrkev,mrkvac,mrkvač,mrkvjelina,mrkva žuta,divlja mrkva,divlja šargarepa
Cardamine bulbifera;lukovičasta režuha;zubica lučikasta
Cardamine enneaphyllos;devetolisna režuha;zubica devetolistna
Cardamine pentaphyllos;prstasta režuha;zubica prstasta
Deschampsia cespitosa;travnjačka busika;oštra busika
Deschampsia media;sitna busika;
Descurainia sophia;Sofijin oranj;oranj,oranjica,oranj raznolistni
Dianthus armeria;čuperkasti karanfil;majke božje suzice,klinčac kosmati
Dianthus barbatus;bradati karanfil;klinčac bradasti
Dianthus carthusianorum;kartuzijanski karanfil;klinčac škurosmedji,klinčac krvocrljeni,klinčac tamnocrljeni,divlji karanfil
Dianthus deltoides;deltoidni karanfil;petešić,klinčac šareni
Dianthus monspessulanus;klinčac miomirisni;
Dianthus superbus;divotnik;Ibrišim karanfil,oholica,klinčac raznolistni
Dianthus sylvestris;šumski karanfil;garoful divji,varuhol divji,klinčac rumenkasti
Dichanthium ischaemum;tupa vlaska;rudobrad,vlaska,bilušina
Dictamnus albus;bijeli jasenak;jasen bjeli,zelje kolinčivo,jasenac,jasenjak,veliki vršak,zelje kolničevo,jasenak,jasenak šiljkasti,rusten
Digitalis ferruginea;hrđavosmeđi naprstak;hrdjasti naprstak,hrđastosmeđi naprstak
Digitalis grandiflora;velecvjetni naprstak;žabica,žućkasti naprstak,pustikara,črvivc,žutičasti naprstak,pustikara žućkasta,krupnocvetni naprstak
Digitalis lanata;vunenasti naprstak;vunasti naprstak,pustikara pustena,dlakavi naprstak,dlakava pustikara,vunasta pustikara
Digitalis lutea;žuti naprstak;
Digitalis purpurea;grimizni naprstak;naprstak,naperšnjak crljeni,rumeni naprstak,crveni naprstak,pustikara crvena,crveni digitalis
Digitaria ischaemum;gola svračica;
Digitaria sanguinalis;ljubičasta svračica;sretva,sridba,surlin,trumba marija,troskotčić,svrakonja,svrakonoga
Diplotaxis muralis;zidni dvoredac;
Diplotaxis tenuifolia;uskolisni dvoredac;riga divja,rikula divja,razgranjeni dvoredac,divlja riga,rikula
Diplotaxis viminea;šibasti dvoredac;riga divja
Dipsacus fullonum;šumska češljugovina;sikavac,sikavica glavata,čičak veliki,bodelj,češaljka,češliga,česljiga,češljigovina,garca,garcatura,glava konjska,grza,grza divja,grzatura,grzatura divja,oštričak,patrljac,preslinac,sjekavac,šetica,štričak,trnak,česlika,ljubičasta češljiga
Dipsacus laciniatus;krpasta češljugovina;sikavica bila,češljasta češljiga
Dipsacus pilosus;dlakava češljugovina;kosmata češljiga
Dipsacus sativus;sjetvena češljugovina;blieda češljiga
Dittrichia graveolens;smrdljivi oman;bušinac,bušak,bušinac manji
Doronicum austriacum;austrijski divokozjak;trava vražja,divokozjak
Doronicum columnae;srcoliki divokozjak;
Doronicum orientale;kavkaski divokozjak;
Dorycnium germanicum;svilenasta bjeloglavica;
Dorycnium hirsutum;čupava bjeloglavica;kožuhica kosmata,obična bjeloglavica,španjolska djetelina,divlja djetelina,lipica
Dorycnium pentaphyllum;bieloglavka petolistna;bieloglavka busasta
Draba aizoides;planinski gladuš;gladuš zimzeleni
Draba lasiocarpa;dlakavoplodni gladuš;gladuš vunasti,gladuš dugostupni
Draba muralis;zidni gladuš;gladuš ogrlati
Drosera anglica;rosika dugolistna;
Drosera intermedia;rosika povaljena;srednja rosika
Drosera rotundifolia;okruglolisna rosika;rosika,rosna trava,rosika krugljolistna,rosika,rosulja
Dryas octopetala;osmerolatični drijas;osinica,zelebor,fresinica,steljka osmolatična,drijas,osminica
Duchesnea indica;indijska jagoda;indijska jagodnjača
Ecballium elaterium;primorska štrcalica;tikvić,starkalj,krastavac divji,mlunić,tikvina,pipunić,dinja divja,dragomasnica,kukumarić divji,nedirac,neticalo,netikalo,pipunić divji,sekavica,strcalj,strgavac,strkac,štirkavac,štrkavac,štrkalj,šćukavica,divlji krastavac,štrcalica
Echinochloa crus-galli;kokošje proso;koštreva,kokonožac,konopljena trava,muhić veli,kostrva,koštan,veliki muhar
Echinocystis lobata;uljna bučica;
Echinops bannaticus;banatska sikavica;rutasta sikavica
Echinops exaltatus;bijela sikavica;
Echinops ritro;dvostrukorasperana sikavica;sikavica bila,sikavica,modra sikavica
